species,tissue_type,cancer_type,cell_name,cellontology_id,marker,Symbol,GeneID
Human,Kidney,Normal,Ascending vasa recta cell,,Igfbp7,,
Human,Kidney,Normal,Injured Proximal tubular cell,,Hspa1a,,
Human,Kidney,Normal,Basophil,CL_0000767,Il4,,
Human,Kidney,Normal,Vas afferen cell,,Gas6,,
Human,Kidney,Normal,Smooth muscle cell,CL_0000192,Map3k7cl,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Foxq1,,
Human,Kidney,Normal,Collecting duct-intercalated cell (type A),,Mme,,
Human,Kidney,Normal,B cell,CL_0000236,Fcmr,,
Human,Kidney,Normal,Ascending vasa recta cell,,Fxyd2,,
Human,Kidney,Normal,Collecting duct-principal cell,,Scnn1b,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Calb1,,
Human,Kidney,Normal,Ascending vasa recta cell,,Fxyd6,,
Human,Kidney,Normal,Pan-Collecting duct-intercalated cell,,Atp6v1b1,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Bst1,PGAP1,80055
Human,Kidney,Normal,Natural killer cell,CL_0000623,Klre1,,
Human,Kidney,Normal,Distal convoluted tubule Type 1(DCT1) cell,,Atp1a1,,
Human,Kidney,Normal,Macrophage,CL_0000235,Aif1,,
Human,Kidney,Normal,Basophil,CL_0000767,Csrp3,,
Human,Kidney,Normal,Injured Proximal tubular cell,,Havcr1,,
Human,Kidney,Normal,Macrophage,CL_0000235,C1qc,,
Human,Kidney,Normal,11b+ dendritic cell,,Wfdc17,,
Human,Kidney,Normal,Neutrophil,CL_0000775,Lyz2,,
Human,Kidney,Normal,B cell,CL_0000236,Ebf1,,
Human,Kidney,Normal,Descending vasa recta cell,,S100a4,,
Human,Kidney,Normal,Neutrophil,CL_0000775,Plac8,,
Human,Kidney,Normal,Venule endothelial cell,,Nr2f2,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Tmem207,,
Human,Kidney,Normal,Distal convoluted tubule Type 1(DCT1) cell,,Atp1a2,,
Human,Kidney,Normal,Basophil,CL_0000767,Cd200r3,,
Human,Kidney,Normal,Injured Proximal tubular cell,,Dcdc2a,,
Human,Kidney,Normal,Distal convoluted tubule Type 1(DCT1) cell,,Egf,,
Human,Kidney,Normal,Smooth muscle cell,CL_0000192,Rergl,,
Human,Kidney,Normal,Proximal tubule progenitor cell,,Notch2,,
Human,Kidney,Normal,Pericyte,CL_0000669,Pdgfrb,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Kcne1,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Stk39,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Slc8a1,,
Human,Kidney,Normal,Collecting duct-transitional cell,,Parm1,,
Human,Kidney,Normal,B cell,CL_0000236,Cd19,,
Human,Kidney,Normal,Collecting duct-intercalated cell (type B),,Hmx2,,
Human,Kidney,Normal,Pan-Collecting duct-intercalated cell,,Atp6v1g3,,
Human,Kidney,Normal,Distal convoluted tubule Type 1(DCT1) cell,,Wnk4,,
Human,Kidney,Normal,Proximal tubule progenitor cell,,Lgr4,,
Human,Kidney,Normal,Basophil,CL_0000767,Cyp11a1,,
Human,Kidney,Normal,Pan Proximal tubular cell,,Aqp8,,
Human,Kidney,Normal,Macrophage,CL_0000235,Ctss,,
Human,Kidney,Normal,Macula densa cell,,Enox1,,
Human,Kidney,Normal,Collecting duct-principal cell,,Scnn1g,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Atp2b1,,
Human,Kidney,Normal,Effector CD8+ T cell,CL_0001050,Cd3d,,
Human,Kidney,Normal,Macula densa cell,,Nos1,,
Human,Kidney,Normal,Distal convoluted tubule Type 1(DCT1) cell,,Atp1a4,,
Human,Kidney,Normal,Collecting duct-intercalated cell (type A),,Kit,,
Human,Kidney,Normal,Distal convoluted tubule Type 1(DCT1) cell,,Slc8a1,,
Human,Kidney,Normal,Pan-Collecting duct-intercalated cell,,Atp6v0d2,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Clcnka,,
Human,Kidney,Normal,Distal convoluted tubule Type 1(DCT1) cell,,Cnnm2,,
Human,Kidney,Normal,Proximal straight tubular cell,,Slc27a2,,
Human,Kidney,Normal,Pan Proximal tubular cell,,Slc34a1,,
Human,Kidney,Normal,Natural killer T(NKT) cell,,Cd3g,,
Human,Kidney,Normal,Macrophage,CL_0000235,Apoe,,
Human,Kidney,Normal,Pan Proximal tubular cell,,Lrp2,,
Human,Kidney,Normal,11b+ dendritic cell,,Cd209a,,
Human,Kidney,Normal,11b- dendritic cell,,Rab7b,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Egf,,
Human,Kidney,Normal,Collecting duct-transitional cell,,Rhbg,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Atp2b4,,
Human,Kidney,Normal,Collecting duct-intercalated cell (type A),,Adgrf5,,
Human,Kidney,Normal,Distal convoluted tubule Type 1(DCT1) cell,,Trpm6,,
Human,Kidney,Normal,CD4+ T cell,CL_0000624,Cd3d,,
Human,Kidney,Normal,11b- dendritic cell,,Rnase6,,
Human,Kidney,Normal,Basophil,CL_0000767,Il6,,
Human,Kidney,Normal,Adult podocyte,,Wt1,,
Human,Kidney,Normal,Vas afferen cell,,Klf4,,
Human,Kidney,Normal,Injured Proximal tubular cell,,Krt20,,
Human,Kidney,Normal,B cell,CL_0000236,Fcrl1,,
Human,Kidney,Normal,Connecting tubular cell,,Egf,,
Human,Kidney,Normal,Effector CD8+ T cell,CL_0001050,Cd8b1,,
Human,Kidney,Normal,Effector CD8+ T cell,CL_0001050,Cd3g,,
Human,Kidney,Normal,Podocyte progenitor,,Foxl1,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Cldn10,,
Human,Kidney,Normal,Pan-Collecting duct-intercalated cell,,Foxi,,
Human,Kidney,Normal,Distal convoluted tubule Type 1(DCT1) cell,,Wnk1,,
Human,Kidney,Normal,Collecting duct-intercalated cell (type A),,Atp4a,,
Human,Kidney,Normal,Distal convoluted tubule Type 1(DCT1) cell,,Stk39,,
Human,Kidney,Normal,Natural killer T(NKT) cell,,Gimap4,,
Human,Kidney,Normal,Endothelial cell,CL_0000115,Eln,,
Human,Kidney,Normal,B cell,CL_0000236,Siglecg,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Fxyd2,,
Human,Kidney,Normal,Collecting duct-intercalated cell (type B),,Spink8,,
Human,Kidney,Normal,CD4+ T cell,CL_0000624,Lef1,,
Human,Kidney,Normal,T cell,CL_0000084,Cd247,,
Human,Kidney,Normal,Effector CD8+ T cell,CL_0001050,Lck,,
Human,Kidney,Normal,Vas afferen cell,,Efnb2,,
Human,Kidney,Normal,Juxtaglomerular cell,,Rgs5,,
Human,Kidney,Normal,Pan-Collecting duct-intercalated cell,,Tcfcp2l1,,
Human,Kidney,Normal,Collecting duct-principal cell,,Elf5,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Umod,,
Human,Kidney,Normal,Collecting duct-intercalated cell (type A),,Aqp6,,
Human,Kidney,Normal,Connecting tubular cell,,Klk1,,
Human,Kidney,Normal,Proximal straight tubular cell,,Slc1a1,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Atp1a1,,
Human,Kidney,Normal,Natural killer T(NKT) cell,,Tmsb10,,
Human,Kidney,Normal,Basophil,CL_0000767,Mcmpt8,,
Human,Kidney,Normal,11b+ dendritic cell,,Ccl6,,
Human,Kidney,Normal,Collecting duct-transitional cell,,Atp6v1g3,,
Human,Kidney,Normal,Arteriole endothelial cell,,Cxcl12,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Lypd2,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Kcnj1,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Slc5a3,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Thsd4,,
Human,Kidney,Normal,Collecting duct-principal cell,,Fxyd4,,
Human,Kidney,Normal,Proximal straight tubular cell,,Slc22a6,,
Human,Kidney,Normal,Basophil,CL_0000767,Ms4a2,,
Human,Kidney,Normal,Connecting tubular cell,,Trpv5,,
Human,Kidney,Normal,Plasmacytoid dendritic cell(pDC),CL_0000784,Ccr9,,
Human,Kidney,Normal,Glomerular endothelial cell,CL_0002188,Fbln2,,
Human,Kidney,Normal,Artery endothelial cell,,Bmx,,
Human,Kidney,Normal,Collecting duct-transitional cell,,Sec23b,,
Human,Kidney,Normal,Plasmacytoid dendritic cell(pDC),CL_0000784,Cd209d,,
Human,Kidney,Normal,Effector CD8+ T cell,CL_0001050,Hcst,,
Human,Kidney,Normal,Vas afferen cell,,Fbln5,,
Human,Kidney,Normal,Distal convoluted tubule Type 1(DCT1) cell,,Slc12a3,,
Human,Kidney,Normal,Distal convoluted tubule Type 1(DCT1) cell,,Calb1,,
Human,Kidney,Normal,Collecting duct-intercalated cell (type A),,Slc4a1,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Cryab,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Mt2,,
Human,Kidney,Normal,Collecting duct-transitional cell,,Hsd11b2,,
Human,Kidney,Normal,Proximal straight tubular cell,,Slc7a13,,
Human,Kidney,Normal,Collecting duct-intercalated cell (type B),,Slc26a4,,
Human,Kidney,Normal,Macula densa cell,,Thsd4,,
Human,Kidney,Normal,Connecting tubular cell,,Scnn1g,,
Human,Kidney,Normal,CD4+ T cell,CL_0000624,Il7r,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Mx2,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Trpm7,,
Human,Kidney,Normal,Pan Proximal tubular cell,,Slc9a3,,
Human,Kidney,Normal,Natural killer T(NKT) cell,,Gimap3,,
Human,Kidney,Normal,Distal convoluted tubule Type 1(DCT1) cell,,Fxyd2,,
Human,Kidney,Normal,Connecting tubular cell,,S100g,,
Human,Kidney,Normal,Peritubular capillary cell,,Plvap,,
Human,Kidney,Normal,Descending vasa recta cell,,Aqp1,,
Human,Kidney,Normal,Mesangial cell,CL_0000650,Fhl2,,
Human,Kidney,Normal,Natural killer cell,CL_0000623,Ccl5,,
Human,Kidney,Normal,Pericyte,CL_0000669,Myh11,,
Human,Kidney,Normal,Collecting duct-transitional cell,,Atp6v0d2,,
Human,Kidney,Normal,Macrophage,CL_0000235,Itgam,,
Human,Kidney,Normal,Regulatory T(Treg) cell,CL_0000815,Tnfrsf4,,
Human,Kidney,Normal,Natural killer T(NKT) cell,,Ltb,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Atp1a3,,
Human,Kidney,Normal,Venule endothelial cell,,Bgn,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Atp1a4,,
Human,Kidney,Normal,11b- dendritic cell,,Plbd1,,
Human,Kidney,Normal,11b- dendritic cell,,Basp1,,
Human,Kidney,Normal,Vas afferen cell,,Cryab,,
Human,Kidney,Normal,Connecting tubular cell,,Trpm6,,
Human,Kidney,Normal,Connecting tubular cell,,Calb1,,
Human,Kidney,Normal,Connecting tubular cell,,Slc8a1,,
Human,Kidney,Normal,Proximal convoluted tubular cell,,Slc6a19,,
Human,Kidney,Normal,Glomerular endothelial cell,CL_0002188,Flt1,,
Human,Kidney,Normal,Glomerular endothelial cell,CL_0002188,Ehd3,,
Human,Kidney,Normal,Plasmacytoid dendritic cell(pDC),CL_0000784,Lair1,,
Human,Kidney,Normal,Smooth muscle cell,CL_0000192,Gata3,,
Human,Kidney,Normal,Vas afferen cell,,Cldn5,,
Human,Kidney,Normal,Smooth muscle cell,CL_0000192,Tagln,,
Human,Kidney,Normal,Distal convoluted tubule Type 1(DCT1) cell,,Pvalb,,
Human,Kidney,Normal,Adult podocyte,,Cdkn1c,,
Human,Kidney,Normal,Pan Proximal tubular cell,,Ppara,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Slc14a2,,
Human,Kidney,Normal,Neutrophil,CL_0000775,S100a9,,
Human,Kidney,Normal,Vas afferen cell,,Podxl,,
Human,Kidney,Normal,Macrophage,CL_0000235,C1qa,,
Human,Kidney,Normal,Connecting tubular cell,,Kcne1,,
Human,Kidney,Normal,11b- dendritic cell,,Naaa,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Cald1,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Tshz2,,
Human,Kidney,Normal,Collecting duct-principal cell,,Rhbg,,
Human,Kidney,Normal,Distal convoluted tubule Type 1(DCT1) cell,,Atp1a3,,
Human,Kidney,Normal,Mesangial cell,CL_0000650,Serpine2,,
Human,Kidney,Normal,Pan Proximal tubular cell,,Pck1,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Enox1,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Klk1,,
Human,Kidney,Normal,Capillary cell,,Flt1,,
Human,Kidney,Normal,Neutrophil,CL_0000775,S100a8,,
Human,Kidney,Normal,Proximal convoluted tubular cell,,Slc7a9,,
Human,Kidney,Normal,Mesangial cell,CL_0000650,Des,,
Human,Kidney,Normal,Natural killer cell,CL_0000623,Gzma,,
Human,Kidney,Normal,Macrophage,CL_0000235,Cd74,,
Human,Kidney,Normal,Natural killer T(NKT) cell,,Hcst,,
Human,Kidney,Normal,Podocyte progenitor,,Efnb2,,
Human,Kidney,Normal,Artery endothelial cell,,Trpv4,,
Human,Kidney,Normal,Venule endothelial cell,,Plvap,,
Human,Kidney,Normal,Capillary cell,,Smad6,,
Human,Kidney,Normal,Connecting tubular cell,,Atp2b1,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Scnn1b,,
Human,Kidney,Normal,Collecting duct-principal cell,,Kcnj10,,
Human,Kidney,Normal,Effector CD8+ T cell,CL_0001050,Ccl5,,
Human,Kidney,Normal,Collecting duct-principal cell,,Apela,,
Human,Kidney,Normal,B cell,CL_0000236,Cd22,,
Human,Kidney,Normal,B cell,CL_0000236,Ly6d,,
Human,Kidney,Normal,Collecting duct-transitional cell,,Insr,,
Human,Kidney,Normal,Plasmacytoid dendritic cell(pDC),CL_0000784,Runx2,,
Human,Kidney,Normal,Effector CD8+ T cell,CL_0001050,Ms4a4b,,
Human,Kidney,Normal,Smooth muscle cell,CL_0000192,Acta2,,
Human,Kidney,Normal,Distal convoluted tubule Type 1(DCT1) cell,,Trpm7,,
Human,Kidney,Normal,Smooth muscle cell,CL_0000192,Myh11,,
Human,Kidney,Normal,T cell,CL_0000084,Nkg7,,
Human,Kidney,Normal,Collecting duct-principal cell,,Hsd11b2,,
Human,Kidney,Normal,Arteriole endothelial cell,,Gja5,,
Human,Kidney,Normal,Collecting duct-principal cell,,Npnt,,
Human,Kidney,Normal,Capillary cell,,Lpl,,
Human,Kidney,Normal,Basophil,CL_0000767,Fcer1a,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Epha7,,
Human,Kidney,Normal,Macula densa cell,,Avpr1a,,
Human,Kidney,Normal,CD4+ T cell,CL_0000624,Ccr7,,
Human,Kidney,Normal,Basophil,CL_0000767,Hdc,,
Human,Kidney,Normal,Pan Proximal tubular cell,,Slc26a6,,
Human,Kidney,Normal,Pan Proximal tubular cell,,Acsm1,,
Human,Kidney,Normal,Collecting duct-principal cell,,Aqp2,,
Human,Kidney,Normal,Descending vasa recta cell,,Slc14a1,,
Human,Kidney,Normal,Neutrophil,CL_0000775,Fcer1g,,
Human,Kidney,Normal,11b- dendritic cell,,Cbfa2t3,,
Human,Kidney,Normal,Capillary cell,,Ehd3,,
Human,Kidney,Normal,Vein endothelial cell,CL_0002543,Nr2f2,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Trpv5,,
Human,Kidney,Normal,Artery endothelial cell,,Gja5,,
Human,Kidney,Normal,Endothelial cell,CL_0000115,Cdh5,,
Human,Kidney,Normal,Collecting duct-transitional cell,,Aqp2,,
Human,Kidney,Normal,Natural killer cell,CL_0000623,Xcl1,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Atp1a2,,
Human,Kidney,Normal,Podocyte progenitor,,Mafb,,
Human,Kidney,Normal,Artery endothelial cell,,Fbln2,,
Human,Kidney,Normal,Adult podocyte,,Nphs1,,
Human,Kidney,Normal,Glomerular endothelial cell,CL_0002188,Bmx,,
Human,Kidney,Normal,Artery endothelial cell,,Mgp,,
Human,Kidney,Normal,Pan Proximal tubular cell,,Hnf4a,,
Human,Kidney,Normal,B cell,CL_0000236,Ms4a1,,
Human,Kidney,Normal,Vein endothelial cell,CL_0002543,Cd9,,
Human,Kidney,Normal,Collecting duct-principal cell,,Aqp3,,
Human,Kidney,Normal,Artery endothelial cell,,Sox17,,
Human,Kidney,Normal,Regulatory T(Treg) cell,CL_0000815,Ltb,,
Human,Kidney,Normal,Glomerular endothelial cell,CL_0002188,Smad6,,
Human,Kidney,Normal,Effector CD8+ T cell,CL_0001050,Cd8a,,
Human,Kidney,Normal,Proximal straight tubular cell,,Slc13a3,,
Human,Kidney,Normal,Vas afferen cell,,Edn1,,
Human,Kidney,Normal,Pan Proximal tubular cell,,Acsm2,,
Human,Kidney,Normal,CD4+ T cell,CL_0000624,Satb1,,
Human,Kidney,Normal,Juxtaglomerular cell,,Ren1,,
Human,Kidney,Normal,Plasmacytoid dendritic cell(pDC),CL_0000784,Rnase6,,
Human,Kidney,Normal,Natural killer T(NKT) cell,,Cxcr6,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,S100g,,
Human,Kidney,Normal,Plasmacytoid dendritic cell(pDC),CL_0000784,Sell,,
Human,Kidney,Normal,Pericyte,CL_0000669,Tagln,,
Human,Kidney,Normal,Connecting tubular cell,,Scnn1b,,
Human,Kidney,Normal,11b- dendritic cell,,Ppm1m,,
Human,Kidney,Normal,11b- dendritic cell,,Irf8,,
Human,Kidney,Normal,Pan Proximal tubular cell,,Cpt1a,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Slc12a3,,
Human,Kidney,Normal,Plasmacytoid dendritic cell(pDC),CL_0000784,Cox6a2,,
Human,Kidney,Normal,Regulatory T(Treg) cell,CL_0000815,Cd3g,,
Human,Kidney,Normal,Podocyte progenitor,,Wt1,,
Human,Kidney,Normal,Basophil,CL_0000767,Ifitm1,,
Human,Kidney,Normal,Regulatory T(Treg) cell,CL_0000815,Ikzf2,,
Human,Kidney,Normal,Collecting duct-principal cell,,Avpr2,,
Human,Kidney,Normal,Pan Proximal tubular cell,,Acox3,,
Human,Kidney,Normal,11b+ dendritic cell,,Tyrobp,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Wnk1,,
Human,Kidney,Normal,Natural killer T(NKT) cell,,Ly6c2,,
Human,Kidney,Normal,Mesangial cell,CL_0000650,Pdgfrb,,
Human,Kidney,Normal,Arteriole endothelial cell,,Bmx,,
Human,Kidney,Normal,B cell,CL_0000236,Cd79b,,
Human,Kidney,Normal,Juxtaglomerular cell,,Akr1b7,,
Human,Kidney,Normal,Proximal straight tubular cell,,Slc16a9,,
Human,Kidney,Normal,Adult podocyte,,Synpo,,
Human,Kidney,Normal,Podocyte progenitor,,Foxc2,,
Human,Kidney,Normal,CD4+ T cell,CL_0000624,Dapl1,,
Human,Kidney,Normal,Regulatory T(Treg) cell,CL_0000815,Ifi27l2a,,
Human,Kidney,Normal,Regulatory T(Treg) cell,CL_0000815,Tnfrsf18,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Aqp1,,
Human,Kidney,Normal,Artery endothelial cell,,Cxcl12,,
Human,Kidney,Normal,Vein endothelial cell,CL_0002543,Plvap,,
Human,Kidney,Normal,Natural killer cell,CL_0000623,Cd7,,
Human,Kidney,Normal,Glomerular endothelial cell,CL_0002188,Lpl,,
Human,Kidney,Normal,Adult podocyte,,Nphs2,,
Human,Kidney,Normal,Pan Proximal tubular cell,,Hrsp12,,
Human,Kidney,Normal,Pan Proximal tubular cell,,Hxyd2,,
Human,Kidney,Normal,Macrophage,CL_0000235,Ms4a7,,
Human,Kidney,Normal,Glomerular endothelial cell,CL_0002188,Trpv4,,
Human,Kidney,Normal,Regulatory T(Treg) cell,CL_0000815,S100a4,,
Human,Kidney,Normal,Glomerular endothelial cell,CL_0002188,Mapt,,
Human,Kidney,Normal,Pan Proximal tubular cell,,Glud1,,
Human,Kidney,Normal,Regulatory T(Treg) cell,CL_0000815,Rgs1,,
Human,Kidney,Normal,Macrophage,CL_0000235,C1qb,,
Human,Kidney,Normal,Proximal convoluted tubular cell,,Adra1a,,
Human,Kidney,Normal,Collecting duct-principal cell,,Kcne1,,
Human,Kidney,Normal,T cell,CL_0000084,Cxcr6,,
Human,Kidney,Normal,CD4+ T cell,CL_0000624,Tcf7,,
Human,Kidney,Normal,Arteriole endothelial cell,,Trpv4,,
Human,Kidney,Normal,Regulatory T(Treg) cell,CL_0000815,Capg,,
Human,Kidney,Normal,Glomerular endothelial cell,CL_0002188,Mgp,,
Human,Kidney,Normal,B cell,CL_0000236,Cd79a,,
Human,Kidney,Normal,Plasmacytoid dendritic cell(pDC),CL_0000784,Siglech,,
Human,Kidney,Normal,Proximal convoluted tubular cell,,Slc5a12,,
Human,Kidney,Normal,Glomerular endothelial cell,CL_0002188,Kdr,,
Human,Kidney,Normal,Collecting duct-transitional cell,,Atp6v1b1,,
Human,Kidney,Normal,Proximal convoluted tubular cell,,Slc7a8,,
Human,Kidney,Normal,11b+ dendritic cell,,Ccl9,,
Human,Kidney,Normal,Effector CD8+ T cell,CL_0001050,Nkg7,,
Human,Kidney,Normal,Natural killer cell,CL_0000623,Nkg7,,
Human,Kidney,Normal,Endothelial cell,CL_0000115,Nrp1,,
Human,Kidney,Normal,Plasmacytoid dendritic cell(pDC),CL_0000784,Bcl11a,,
Human,Kidney,Normal,Glomerular endothelial cell,CL_0002188,Tsapn7,,
Human,Kidney,Normal,Descending thin limb of LOH cell,,Fst,,
Human,Kidney,Normal,Glomerular endothelial cell,CL_0002188,Plat,,
Human,Kidney,Normal,Mesangial cell,CL_0000650,Art3,,
Human,Kidney,Normal,CD4+ T cell,CL_0000624,Klf2,,
Human,Kidney,Normal,Arteriole endothelial cell,,Mgp,,
Human,Kidney,Normal,Arteriole endothelial cell,,Fbln2,,
Human,Kidney,Normal,Regulatory T(Treg) cell,CL_0000815,Izumo1r,,
Human,Kidney,Normal,Mesangial cell,CL_0000650,Prkca,,
Human,Kidney,Normal,CD4+ T cell,CL_0000624,Ms4a4b,,
Human,Kidney,Normal,11b- dendritic cell,,3-Sep,,
Human,Kidney,Normal,11b+ dendritic cell,,Cd74,,
Human,Kidney,Normal,11b+ dendritic cell,,Alox5ap,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Wnk4,,
Human,Kidney,Normal,Glomerular endothelial cell,CL_0002188,Emcn,,
Human,Kidney,Normal,Plasmacytoid dendritic cell(pDC),CL_0000784,Ly6d,,
Human,Kidney,Normal,11b- dendritic cell,,Wdfy3,,
Human,Kidney,Normal,11b+ dendritic cell,,Mgl2,,
Human,Kidney,Normal,Arteriole endothelial cell,,Sox17,,
Human,Kidney,Normal,Vein endothelial cell,CL_0002543,Bgn,,
Human,Kidney,Normal,Proximal convoluted tubular cell,,Slc5a2,,
Human,Kidney,Normal,Pericyte,CL_0000669,Vim,,
Human,Kidney,Normal,Distal convoluted tubule Type 2(DCT2) cell,,Klhl3,,
Human,Kidney,Normal,Mesangial cell,CL_0000650,Nt5e,,
Human,Kidney,Normal,Proximal straight tubular cell,,Atp11a,,
Mouse,Kidney,Normal,Macrophage,CL_0000235, F4/80,,
Human,Kidney,Pheochromocytoma,Cancer cell,CL_0001064,ACTH,POMC,5443
Mouse,Afferent artery,Normal,Endothelial cell,CL_0000115,Gja5,Gja5,14613
Mouse,Efferent artery,Normal,Endothelial cell,CL_0000115,Pecam1,Pecam1,18613
Mouse,Renal glomerulus,Normal,M2 macrophage,CL_0000890,Cd36,Cd36,12491
Mouse,Renal glomerulus,Normal,Endothelial cell,CL_0000115,CD31,,
Mouse,Renal glomerulus,Normal,Endothelial cell,CL_0000115,Ehd3,Ehd3,57440
Mouse,Afferent artery,Normal,Endothelial cell,CL_0000115,Adora,,
Mouse,Afferent artery,Normal,Endothelial cell,CL_0000115,Pecam1,Pecam1,18613
Mouse,Renal glomerulus,Normal,Mesangial cell,CL_0000650,Pdgrb,,
Mouse,Kidney,Normal,Proximal tubular cell,CL_1000839,Slc27a2,Slc27a2,26458
Mouse,Kidney,Normal,Proximal tubular cell,CL_1000839,Napsa,Napsa,16541
Mouse,Kidney,Normal,Proximal tubular cell,CL_1000839,Kap,Kap,16483
Human,Kidney,Papillary renal cell carcinoma,Proximal tubular cell,CL_1000839,AQP1,,
Human,Kidney,Papillary renal cell carcinoma,Collecting Duct Principal Cell,,GRHL2,GRHL2,79977
Human,Kidney,Non-clear renal cell carcinoma,M2 macrophage,CL_0000890,SIGLEC1,SIGLEC1,6614
Human,Kidney,Non-clear renal cell carcinoma,M2 macrophage,CL_0000890,CD163,CD163,9332
Human,Kidney,Non-clear renal cell carcinoma,M2 macrophage,CL_0000890,CD209,CD209,30835
Human,Kidney,Non-clear renal cell carcinoma,M2 macrophage,CL_0000890,TREM2,TREM2,54209
Human,Kidney,Non-clear renal cell carcinoma,M2 macrophage,CL_0000890,CCL2,CCL2,6347
Human,Kidney,Non-clear renal cell carcinoma,M2 macrophage,CL_0000890,C1QB,C1QB,713
Human,Kidney,Non-clear renal cell carcinoma,M2 macrophage,CL_0000890,FGL2,FGL2,10875
Human,Kidney,Non-clear renal cell carcinoma,M2 macrophage,CL_0000890,CSF1R,CSF1R,1436
Human,Kidney,Non-clear renal cell carcinoma,M2 macrophage,CL_0000890,C1QC,C1QC,714
Human,Kidney,Non-clear renal cell carcinoma,M2 macrophage,CL_0000890,AXL,AXL,558
Human,Kidney,Non-clear renal cell carcinoma,M2 macrophage,CL_0000890,MERTK,MERTK,10461
Human,Kidney,Non-clear renal cell carcinoma,M2 macrophage,CL_0000890,C1QA,C1QA,712
Human,Kidney,Non-clear renal cell carcinoma,M2 macrophage,CL_0000890,S100A9,S100A9,6280
Mouse,Microvessel,Normal,Endothelial cell,CL_0000115,Pbx1,Pbx1,18514
Human,Kidney,Normal,Proximal tubular cell,,ABCC4,ABCC4,10257
Human,Kidney,Normal,Muscle cell,CL_0000187,ACTC1,ACTC1,70
Human,Kidney,Normal,Mesenchymal cell,CL_0008019,PDGFRA,PDGFRA,5156
Human,Kidney,Normal,Muscle cell,CL_0000187,TTN,TTN,7276
Human,Kidney,Normal,Podocyte,CL_0000653,PODXL,PODXL,5420
Human,Kidney,Normal,Proximal tubular cell,,EPCAM,EPCAM,4072
Human,Kidney,Normal,Proximal tubular cell,,SLC22A5,SLC22A5,6584
Human,Kidney,Normal,Neuron,CL_0000540,STMN2,STMN2,11075
Human,Kidney,Normal,Proximal tubular cell,,KRT18,KRT18,3875
Human,Kidney,Normal,Mesenchymal cell,CL_0008019,COL3A1,COL3A1,1281
Human,Kidney,Normal,Podocyte,CL_0000653,NPHS2,NPHS2,7827
Human,Kidney,Normal,Mesenchymal cell,CL_0008019,PITX2,PITX2,5308
Human,Kidney,Normal,Muscle cell,CL_0000187,MYLPF,,
Human,Kidney,Normal,Muscle cell,CL_0000187,TNNC2,TNNC2,7125
Human,Kidney,Normal,Neuron,CL_0000540,CRABP1,CRABP1,1381
Human,Kidney,Normal,Proximal tubular cell,,LRP2,LRP2,4036
Human,Kidney,Normal,Neuron,CL_0000540,NEUROD1,NEUROD1,4760
Human,Kidney,Normal,Loop progenitor cell,,TOP2A,TOP2A,7153
